family_id	head	size	book_hits	raw_hits	book_members	peak_word	charged	labelled	charged_pct	pos_ct	neg_ct	contrast	held	done	eligible
oewn-05149427-n	good	13	836	3257	9	good	10	13	0.77	10	0	0	0	0	1
oewn-07332364-n	failure	19	722	1504	9	miss	14	19	0.74	4	10	1	0	0	1
oewn-07495208-n	emotion	23	706	2116	17	love	21	23	0.91	15	6	1	0	0	1
oewn-04854001-n	morality	10	505	1912	7	good	7	10	0.7	7	0	0	0	0	1
oewn-05151326-n	bad	10	471	548	5	bad	7	10	0.7	2	5	1	0	0	1
oewn-07539144-n	anxiety	27	344	1311	16	fear	20	27	0.74	0	20	0	0	0	1
oewn-05621958-n	sagacity	19	335	1538	12	eye	19	19	1.0	15	4	1	0	0	1
oewn-04630969-n	disposition	44	323	1576	21	heart	33	44	0.75	16	17	1	0	0	1
oewn-07560035-n	affection	14	323	1271	7	heart	12	14	0.86	12	0	0	0	0	1
oewn-04716529-n	difficulty	67	291	1297	40	trouble	51	67	0.76	0	51	0	0	0	1
oewn-14516729-n	poverty	16	269	992	6	want	13	16	0.81	0	13	0	0	0	1
oewn-04917312-n	manner	20	246	768	13	manner	15	20	0.75	15	0	0	0	0	1
oewn-07547828-n	sadness	24	220	488	15	misery	23	24	0.96	0	23	0	0	0	1
oewn-14346126-n	pain	62	211	689	24	pain	53	62	0.85	1	52	1	0	0	1
oewn-07541996-n	happiness	12	210	347	8	happiness	9	12	0.75	6	3	1	0	0	1
oewn-04910990-n	composure	15	198	476	11	quiet	15	15	1.0	10	5	1	0	0	1
oewn-05683749-n	awareness	8	187	742	3	feel	6	8	0.75	6	0	0	0	0	1
oewn-04639514-n	liveliness	28	165	1453	15	life	25	28	0.89	25	0	0	0	0	1
oewn-04859319-n	evil	25	161	396	13	evil	20	25	0.8	6	14	1	0	0	1
oewn-05837804-n	negative stimulus	16	161	524	12	pain	13	16	0.81	4	9	1	0	0	1
oewn-05729127-n	somesthesia	14	155	762	7	feeling	12	14	0.86	0	12	0	0	0	1
oewn-07536913-n	apprehension	15	154	279	11	dread	11	15	0.73	0	11	0	0	0	1
oewn-07512613-n	liking	18	148	506	15	fancy	14	18	0.78	13	1	1	0	0	1
oewn-05693168-n	perplexity	10	148	340	8	secret	7	10	0.7	4	3	1	0	0	1
oewn-07319470-n	misfortune	15	146	374	14	pity	15	15	1.0	0	15	0	0	0	1
oewn-00855465-n	foreplay	13	144	508	5	feel	13	13	1.0	4	9	1	0	0	1
oewn-05145473-n	worth	9	142	431	7	worth	8	9	0.89	6	2	1	0	0	1
oewn-07509503-n	pain	10	139	580	8	pain	10	10	1.0	0	10	0	0	0	1
oewn-07551058-n	sorrow	10	128	192	8	sorrow	10	10	1.0	0	10	0	0	0	1
oewn-00062418-n	consummation	10	127	495	6	coming	7	10	0.7	7	0	0	0	0	1
