# Sample English Mini-Glossary — original definitions written for this project.
# Format: headword <TAB> definition (\n = newline) <TAB> synonym|synonym (optional)
aberration	a departure from what is normal, usual, or expected.
abundant	present in large quantities; more than enough.	plentiful
benevolent	kind and generous in spirit or action.
brisk	quick and energetic; of weather, cool and refreshing.
candid	honest and direct; speaking without hidden intent.
cat	a small domesticated feline animal, often kept as a pet.
catalog	an organized list of items, such as goods, books, or artworks.\nAlso spelled "catalogue".	catalogue
catapult	a device that hurls objects; to launch something with sudden force.
cattle	cows and bulls raised on farms for milk or meat.
color	the visual quality of light an object reflects, such as red or blue.	colour
concise	expressed briefly and clearly, with no wasted words.	succinct
curious	eager to learn or know more about something.
dictionary	a reference work, in print or software, that lists words with their meanings, and often pronunciation and usage.	lexicon|wordbook
diligent	showing steady, careful effort in work or duties.
eloquent	fluent and persuasive in speech or writing.
ephemeral	lasting for only a very short time.	fleeting
gadget	a small mechanical or electronic device or tool.
galaxy	a vast system of stars, gas, and dust held together by gravity.
gentle	mild in manner; soft in action or effect.
glossary	an alphabetical list of special terms with short explanations.
horizon	the line where the sky appears to meet the land or sea.
humble	modest about one's own importance; not proud.
keen	sharp or highly developed; strongly interested or eager.
kindle	to light a fire; to stir up interest or emotion.
language	the system of words and rules that people use to communicate.
lantern	a portable lamp with a protective case around its light.
lucid	clear and easy to understand; mentally sharp.
luminous	giving off light; bright or glowing.
meander	to follow a winding course; to wander without hurry.
mellow	soft, smooth, and pleasant; made gentle by age or experience.
nimble	quick and light in movement or thought.	agile
oasis	a fertile spot in a desert; a calm place amid difficulty.
obsolete	no longer in use; replaced by something newer.
ponder	to think about something carefully and at length.	contemplate
quaint	attractively unusual or pleasantly old-fashioned.
quiet	making little or no noise; free of disturbance.
resilient	able to recover quickly from difficulty or change.
serendipity	the lucky discovery of something good while not searching for it.
serene	calm, peaceful, and untroubled.
tranquil	free from disturbance; calm and still.	peaceful
umbrella	a folding canopy on a handle, used for shelter from rain or sun.
vivid	producing strong, clear images in the mind; intensely bright.
voyage	a long journey, especially by sea or through space.
whimsical	playfully fanciful or unpredictable.
wisdom	good judgment built from knowledge and experience.
zeal	great energy and enthusiasm for a cause or activity.	fervor
zenith	the highest point reached; the peak of power or success.	apex
zephyr	a soft, gentle breeze.
